article_title,article_url,feed_name,article_published,trigger_keywords,extracted_firm_name,known_firm,cik,suggested_action
"Flexibility will be rewarded as capacity floods market: Kumar, Marsh Securities CEO",https://www.artemis.bm/news/flexibility-will-be-rewarded-as-capacity-floods-market-kumar-marsh-securities-ceo/?utm_source=rss&utm_medium=rss&utm_campaign=flexibility-will-be-rewarded-as-capacity-floods-market-kumar-marsh-securities-ceo,Artemis,2026-09-18,reinsurance,,No,,Review for seed list
Discipline determines the credit outcome of soft reinsurance market pricing: KBRA,https://www.artemis.bm/news/discipline-determines-the-credit-outcome-of-soft-reinsurance-market-pricing-kbra/?utm_source=rss&utm_medium=rss&utm_campaign=discipline-determines-the-credit-outcome-of-soft-reinsurance-market-pricing-kbra,Artemis,2026-09-18,reinsurance,,No,,Review for seed list
"Reinsurance buying up 85% in a decade, but concentration at the top eases",https://www.reinsurancene.ws/reinsurance-buying-up-85-in-a-decade-but-concentration-at-the-top-eases/,Reinsurance News,2026-09-18,"reinsurance, regulatory",,No,,Review for seed list
A startup that builds other startups raised $100M and is all-in on physical AI,https://techcrunch.com/2026/09/18/a-startup-that-builds-other-startups-raised-100m-and-is-all-in-on-physical-ai/,TechCrunch,2026-09-18,AI,,No,,Review for seed list
CEO Interview: LDOO,https://www.cbinsights.com/research/ceo-interview-ldoo/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
Executive Interview: Gotomarket,https://www.cbinsights.com/research/executive-interview-gotomarket/,CB Insights Fintech,2026-09-18,chief operating,,No,,Review for seed list
CEO Interview : meCore,https://www.cbinsights.com/research/ceo-interview-mecore/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview : LoreGraph,https://www.cbinsights.com/research/ceo-interview-loregraph/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Epsilon3,https://www.cbinsights.com/research/ceo-interview-epsilon3/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Woodly,https://www.cbinsights.com/research/ceo-interview-woodly/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview : GraphiCore,https://www.cbinsights.com/research/ceo-interview-graphicore/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Inovech,https://www.cbinsights.com/research/ceo-interview-inovech/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: VitriBiome,https://www.cbinsights.com/research/ceo-interview-vitribiome/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Array Labs,https://www.cbinsights.com/research/ceo-interview-array-labs/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Onebrief,https://www.cbinsights.com/research/ceo-interview-onebrief/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Doha Encounters,https://www.cbinsights.com/research/ceo-interview-doha-encounters/,CB Insights Fintech,2026-09-18,chief executive,,No,,Review for seed list
CEO Interview: Chorah Labs,https://www.cbinsights.com/research/ceo-interview-chorah-labs/,CB Insights Fintech,2026-09-18,chief technology,,No,,Review for seed list
The Technology Taking Parametric Insurance Mainstream,https://www.carriermanagement.com/features/2026/09/17/292049.htm,Carrier Management,2026-09-17,parametric,,No,,Review for seed list
"Emerging Risks to Watch: Quantum Computing, Data Center Buildout, and Peptides",https://www.carriermanagement.com/features/2026/09/17/292042.htm,Carrier Management,2026-09-17,AI,,No,,Review for seed list
UK Insurers Urge Bank of England to Rethink ‘Dynamic’ Stress Test,https://www.carriermanagement.com/news/2026/09/17/292031.htm,Carrier Management,2026-09-17,regulatory,,No,,Review for seed list
China Construction Bank manager pleads guilty to accepting bribes from Vesttoo employee,https://www.artemis.bm/news/china-construction-bank-manager-pleads-guilty-to-accepting-bribes-from-vesttoo-employee/?utm_source=rss&utm_medium=rss&utm_campaign=china-construction-bank-manager-pleads-guilty-to-accepting-bribes-from-vesttoo-employee,Artemis,2026-09-17,reinsurance,,No,,Review for seed list
CEO Interview: Legal Map,https://www.cbinsights.com/research/ceo-interview-legal-map/,CB Insights Fintech,2026-09-17,chief executive,,No,,Review for seed list
CEO Interview: Xflow,https://www.cbinsights.com/research/ceo-interview-xflow/,CB Insights Fintech,2026-09-17,chief executive,,No,,Review for seed list
CEO Interview: Novella,https://www.cbinsights.com/research/ceo-interview-novella/,CB Insights Fintech,2026-09-17,chief executive,,No,,Review for seed list
Bending Spoons’ acquisition spree and the future of insurance brokerages,https://www.cbinsights.com/research/newsletter-september-17/,CB Insights Fintech,2026-09-17,acquisition,,No,,Review for seed list
CEO Interview: Pure Capture Innovations,https://www.cbinsights.com/research/ceo-interview-pure-capture-innovations/,CB Insights Fintech,2026-09-17,chief executive,,No,,Review for seed list
CEO Interview: Loomal.ai,https://www.cbinsights.com/research/ceo-interview-loomal-ai/,CB Insights Fintech,2026-09-17,"chief executive, AI",,No,,Review for seed list
